image_path,label,split
gambarayam/train/Coccidiosis/cocci.509.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1451.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1337.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1323.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1445.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.535.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.253.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.247.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.521.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1479.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1492.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1486.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.290.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.284.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.303.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1135.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1653.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1647.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.737.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.723.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.129.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1690.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.904.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1684.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1874.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.115.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1860.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.101.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.938.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1041.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.119.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1727.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1733.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1055.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.64.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.125.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.643.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.657.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.70.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1069.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.131.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.864.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.870.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.64.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1096.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.858.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1900.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.680.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1914.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.694.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.58.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1525.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1243.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1257.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.288.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.469.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.2038.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1519.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.441.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.2010.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.327.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.333.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.455.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1280.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1294.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.263.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.496.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.277.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.276.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.497.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.262.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.483.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1281.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.454.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.2005.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.2011.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1518.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.326.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1256.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.2039.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1530.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/pcrcocci.289.jpg,Coccidiosis,train
gambarayam/train/Coccidiosis/cocci.1524.jpg,Coccidiosis,train
